Date,year,month,day,day_of_week,week_of_year,quarter,day_of_year,is_weekend,is_month_start,is_month_end,is_q3,is_december,sin_7,cos_7,sin_30_5,cos_30_5,sin_365_25,cos_365_25,sin_365,cos_365
2023-01-01,2023,1,1,6,52,1,1,1,1,0,0,0,-0.7818314824680299,0.6234898018587334,0.2045520661262008,0.9788556850953578,0.017201575418260506,0.9998520419557735,0.017201575418260506,0.9998520419557735
2023-01-02,2023,1,2,0,1,1,2,0,0,0,0,0,0.0,1.0,0.40045390565126643,0.9163169044870048,0.03439806061360801,0.9994082116062598,0.03439806061360801,0.9994082116062598
2023-01-03,2023,1,3,1,1,1,3,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.5794210982045637,0.8150283375168114,0.051584366869408364,0.9986686402879997,0.051584366869408364,0.9986686402879997
2023-01-04,2023,1,4,2,1,1,4,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.733885366432199,0.6792733388972931,0.06875540848113941,0.9976335468520451,0.06875540848113941,0.9976335468520451
2023-01-05,2023,1,5,3,1,1,5,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.8573146280763323,0.5147928015098308,0.08590610426133272,0.9963032375991965,0.08590610426133272,0.9963032375991965
2023-01-06,2023,1,6,4,1,1,6,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.9444892287836613,0.32854238191083485,0.10303137904317879,0.9946781061893646,0.10303137904317879,0.9946781061893646
2023-01-07,2023,1,7,5,1,1,7,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9917226741361015,0.12839835514655099,0.1201261651823505,0.9927586335250793,0.1201261651823505,0.9927586335250793
2023-01-08,2023,1,8,6,1,1,8,1,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.9970175264485267,-0.07717546212664618,0.13718540405660057,0.9905453876091833,0.13718540405660057,0.9905453876091833
2023-01-09,2023,1,9,0,2,1,9,0,0,0,0,0,0.0,1.0,0.9601498736716018,-0.2794856348516094,0.1542040475626894,0.988039023376751,0.1542040475626894,0.988039023376751
2023-01-10,2023,1,10,1,2,1,10,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.8826787983255474,-0.46997674302732007,0.17117705961019986,0.985240282501282,0.17117705961019986,0.985240282501282
2023-01-11,2023,1,11,2,2,1,11,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.7678804460366001,-0.6405931786981751,0.18809941761179758,0.9821499931752291,0.18809941761179758,0.9821499931752291
2023-01-12,2023,1,12,3,2,1,12,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.620609481827423,-0.7841198065767103,0.20496611396949532,0.9787690698649216,0.20496611396949532,0.9787690698649216
2023-01-13,2023,1,13,4,2,1,13,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.44709379298511387,-0.8944870822287956,0.22177215755648186,0.975098513039961,0.22177215755648186,0.975098513039961
2023-01-14,2023,1,14,5,2,1,14,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.2546711202412288,-0.9670277247913204,0.23851257519407648,0.9711394088771653,0.23851257519407648,0.9711394088771653
2023-01-15,2023,1,15,6,2,1,15,1,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.05147875477034673,-0.9986740898848305,0.2551824131233728,0.9668929289391521,0.2551824131233728,0.9668929289391521
2023-01-16,2023,1,16,0,3,1,16,0,0,0,0,0,0.0,1.0,-0.15389057670406148,-0.9880878960910772,0.2717767384711357,0.9623603298276545,0.2717767384711357,0.9623603298276545
2023-01-17,2023,1,17,1,3,1,17,0,0,0,0,0,0.7818314824680298,0.6234898018587336,-0.35275208654909473,-0.9357168190404936,0.2882906407095177,0.9575429528116719,0.2882906407095177,0.9575429528116719
2023-01-18,2023,1,18,2,3,1,18,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,-0.5366961939916003,-0.8437755598231858,0.3047192331091634,0.9524422234305676,0.3047192331091634,0.9524422234305676
2023-01-19,2023,1,19,3,3,1,19,0,0,0,0,0,0.43388373911755823,-0.900968867902419,-0.6979441547663433,-0.7161521883143935,0.321057654185271,0.9470596510722283,0.321057654185271,0.9470596510722283
2023-01-20,2023,1,20,4,3,1,20,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.8296770135526189,-0.5582437220268648,0.3373010691361842,0.9413968285264122,0.3373010691361842,0.9413968285264122
2023-01-21,2023,1,21,5,3,1,21,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,-0.9263239682514951,-0.3767278936351848,0.3534446712740877,0.9354554315134164,0.3534446712740877,0.9354554315134164
2023-01-22,2023,1,22,6,3,1,22,1,0,0,0,0,-0.7818314824680299,0.6234898018587334,-0.9837979515735163,-0.1792807588107359,0.3694836834473831,0.9292372181882051,0.3694836834473831,0.9292372181882051
2023-01-23,2023,1,23,0,4,1,23,0,0,0,0,0,0.0,1.0,-0.9996684675143132,0.025747913654987745,0.38541335945432564,0.9227440286201427,0.38541335945432564,0.9227440286201427
2023-01-24,2023,1,24,1,4,1,24,0,0,0,0,0,0.7818314824680298,0.6234898018587336,-0.9732643737003827,0.22968774213179508,0.4012289854475009,0.9159777842484877,0.4012289854475009,0.9159777842484877
2023-01-25,2023,1,25,2,4,1,25,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,-0.9057022630804715,0.42391439070986053,0.4169258813287287,0.908940487313808,0.4169258813287287,0.908940487313808
2023-01-26,2023,1,26,3,4,1,26,0,0,0,0,0,0.43388373911755823,-0.900968867902419,-0.7998392447397193,0.6002142805483683,0.4324994021339788,0.901634220265486,0.4324994021339788,0.901634220265486
2023-01-27,2023,1,27,4,4,1,27,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.6601521206712321,0.7511319308705195,0.44794493940789115,0.8940611451454876,0.44794493940789115,0.8940611451454876
2023-01-28,2023,1,28,5,4,1,28,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,-0.4925480679538645,0.8702852410301551,0.4632579225674917,0.88622350294858,0.4632579225674917,0.88622350294858
2023-01-29,2023,1,29,6,4,1,29,1,0,0,0,0,-0.7818314824680299,0.6234898018587334,-0.30411483232751774,0.9526353808033826,0.4784338202547012,0.8781236129591848,0.4784338202547012,0.8781236129591848
2023-01-30,2023,1,30,0,5,1,30,0,0,0,0,0,0.0,1.0,-0.1028209971373608,0.9946998756145891,0.49346814167723735,0.8697638720650646,0.49346814167723735,0.8697638720650646
2023-01-31,2023,1,31,1,5,1,31,0,0,1,0,0,0.7818314824680298,0.6234898018587336,0.10282099713736031,0.9946998756145891,0.5083564379375122,0.8611467540480452,0.5083564379375122,0.8611467540480452
2023-02-01,2023,2,1,2,5,1,32,0,1,0,0,0,0.9749279121818236,-0.22252093395631434,0.2045520661262008,0.9788556850953578,0.5230943033491326,0.8522748088519838,0.5230943033491326,0.8522748088519838
2023-02-02,2023,2,2,3,5,1,33,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.40045390565126643,0.9163169044870048,0.5376773767406141,0.8431506618282,0.5376773767406141,0.8431506618282
2023-02-03,2023,2,3,4,5,1,34,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.5794210982045637,0.8150283375168114,0.5521013427459208,0.8337770129585915,0.5521013427459208,0.8337770129585915
2023-02-04,2023,2,4,5,5,1,35,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.733885366432199,0.6792733388972931,0.5663619330814524,0.8241566360566663,0.5663619330814524,0.8241566360566663
2023-02-05,2023,2,5,6,5,1,36,1,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.8573146280763323,0.5147928015098308,0.580454927809098,0.8142923779467267,0.580454927809098,0.8142923779467267
2023-02-06,2023,2,6,0,6,1,37,0,0,0,0,0,0.0,1.0,0.9444892287836613,0.32854238191083485,0.5943761565849831,0.804187157621448,0.5943761565849831,0.804187157621448
2023-02-07,2023,2,7,1,6,1,38,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.9917226741361015,0.12839835514655099,0.6081214998935418,0.7938439653781019,0.6081214998935418,0.7938439653781019
2023-02-08,2023,2,8,2,6,1,39,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.9970175264485267,-0.07717546212664618,0.6216868902665479,0.7832658619336791,0.6216868902665479,0.7832658619336791
2023-02-09,2023,2,9,3,6,1,40,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.9601498736716018,-0.2794856348516094,0.6350683134867438,0.7724559775191742,0.6350683134867438,0.7724559775191742
2023-02-10,2023,2,10,4,6,1,41,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.8826787983255474,-0.46997674302732007,0.6482618097757122,0.7614175109532997,0.6482618097757122,0.7614175109532997
2023-02-11,2023,2,11,5,6,1,42,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.7678804460366001,-0.6405931786981751,0.6612634749656386,0.7501537286959042,0.6612634749656386,0.7501537286959042
2023-02-12,2023,2,12,6,6,1,43,1,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.620609481827423,-0.7841198065767103,0.6740694616546161,0.7386679638813748,0.6740694616546161,0.7386679638813748
