Date,revenue_lag_1,revenue_lag_7,revenue_lag_14,revenue_lag_28,revenue_lag_56,revenue_lag_365,revenue_lag_366,revenue_lag_7_gap549,revenue_lag_28_gap549,revenue_lag_365_gap549,cogs_lag_7,cogs_lag_7_gap549,cogs_lag_365,cogs_lag_365_gap549,revenue_roll_mean_7,revenue_roll_std_7,revenue_roll_mean_14,revenue_roll_std_14,revenue_roll_mean_28,revenue_roll_std_28,revenue_roll_mean_56,revenue_roll_std_56,revenue_roll_mean_91,revenue_roll_std_91,revenue_roll_mean_365,revenue_roll_std_365,revenue_roll_mean_28d_gap549,revenue_roll_std_28d_gap549,cogs_roll_mean_28d_gap549,cogs_roll_std_28d_gap549,revenue_roll_mean_91d_gap549,revenue_roll_std_91d_gap549,cogs_roll_mean_91d_gap549,cogs_roll_std_91d_gap549,revenue_roll_mean_365d_gap549,revenue_roll_std_365d_gap549,cogs_roll_mean_365d_gap549,cogs_roll_std_365d_gap549,cogs_roll_mean_28,gross_margin_lag_365,revenue_same_day_ly_365,revenue_same_day_ly_366,gross_margin_pct_lag_365_gap549,gross_margin_pct_roll_mean_91d_gap549,revenue_decomp_trend_m7_gap549,revenue_decomp_seasonal_m7_gap549,revenue_decomp_random_m7_gap549,cogs_decomp_trend_m7_gap549,cogs_decomp_seasonal_m7_gap549,cogs_decomp_random_m7_gap549,revenue_decomp_trend_m365_gap549,revenue_decomp_seasonal_m365_gap549,revenue_decomp_random_m365_gap549,cogs_decomp_trend_m365_gap549,cogs_decomp_seasonal_m365_gap549,cogs_decomp_random_m365_gap549
2023-01-01,5094915.79,5015283.26,5807751.43,6367799.03,3090364.98,4785799.65,5506677.04,5015283.26,6367799.03,4785799.65,4491924.42,4491924.42,4637675.06,4637675.06,4375694.205714286,1004953.1059981864,4219390.226428571,879748.4965154506,4022047.3260714286,846233.4579933059,4524087.999821428,1379481.8279820168,4420944.505164836,1542540.9047725662,2963050.2612876715,1716159.418457092,4022047.3260714286,846233.4579933059,3444206.2121428573,909063.4023880818,4420944.505164836,1542540.9047725662,3702462.181098901,1301797.9947557738,2963050.2612876715,1716159.418457092,2507977.866,1453349.726197478,3444206.2121428573,0.030950854785573977,4785799.65,5506677.04,0.030950854785573977,0.16087369492425785,4375694.205714285,52876.6468347341,55435.505192307784,4222015.472857143,41405.88638655472,17711.172609889763,2963050.261287671,2215836.088054795,-732837.2744657535,2507977.8660000004,2601748.468630137,-662219.5901506855
2023-01-02,4975867.15,3255836.16,4316861.14,2524112.16,3099539.75,4866951.38,4785799.65,3255836.16,2524112.16,4866951.38,2807033.14,2807033.14,4707883.99,4707883.99,4538853.28,877463.3468569737,4225182.265,880705.9953893387,4088970.0946428576,795987.3717075126,4547273.891428571,1365948.3859745273,4382833.6749450555,1498698.0531290276,2961765.3251232873,1714905.1175770017,4088970.0946428576,795987.3717075126,3523805.807142857,884024.7940349055,4382833.6749450555,1498698.0531290276,3670570.1720879124,1248928.2992831143,2961765.3251232873,1714905.1175770017,2506932.863479452,1451899.986719954,3523805.807142857,0.032683168082110504,4866951.38,4785799.65,0.032683168082110504,0.16016186182908826,4538853.279999999,308566.668207283,1355320.3117857145,4439076.177142857,260198.6455182074,1455042.1832142863,2961765.3251232877,1830716.8973561644,-514955.75926027424,2506932.863479452,2124054.1208356163,-430642.9894520546
2023-01-03,4397949.68,3202321.56,3596996.21,2884765.01,2448108.31,3696972.88,4866951.38,3202321.56,2884765.01,3696972.88,2946230.91,2946230.91,3771036.88,3771036.88,4528880.682857143,895398.445514071,4192004.9199999995,914299.0976507491,4097818.2507142858,783382.8975960845,4559495.410535714,1349791.305888407,4333798.081098901,1465062.369452246,2960218.860739726,1714494.7614698855,4097818.2507142858,783382.8975960845,3553773.4057142856,853358.6660282089,4333798.081098901,1465062.369452246,3627020.651868132,1197308.3167653116,2960218.860739726,1714494.7614698855,2505097.538794521,1450720.5842067578,3553773.4057142856,-0.020033687669356124,3696972.88,4866951.38,-0.020033687669356124,0.1595041688681218,4528880.682857143,-19407.375574229514,509419.1270604395,4461206.528571428,-30184.589719887812,430136.7349450552,2960218.8607397256,1878218.0562328766,-606310.8528767121,2505097.538794521,2144579.533013699,-586024.4503013701
2023-01-04,3132513.38,3938214.81,3113780.62,3795966.84,3801718.87,706367.78,3696972.88,3938214.81,3795966.84,706367.78,3832008.26,3832008.26,665027.87,665027.87,4070650.1599999997,1703850.7861699646,4021777.8150000004,1279432.6746206703,3988340.904642857,1008868.9167753179,4504654.022678572,1440481.5667925125,4322919.4623076925,1488175.3143685954,2960285.2535342467,1714407.7096451032,3988340.904642857,1008868.9167753179,3466729.1535714283,1012462.4162254191,4322919.4623076925,1488175.3143685954,3616577.765604395,1219150.4232966015,2960285.2535342467,1714407.7096451032,2505049.004465753,1450782.608462107,3466729.1535714283,0.058524625797626316,706367.78,3696972.88,0.058524625797626316,0.1599717078351924,4070650.1599999997,-243629.35705882343,842471.9112362643,4006250.0399999996,-198888.9572268906,968598.4927472533,2960285.2535342462,-406242.5626849317,52996.815972602926,2505049.0044657537,4651.443739726092,71707.81147945183
2023-01-05,730601.15,4255543.96,3454322.45,3757477.99,3546216.71,1406074.5,706367.78,4255543.96,3757477.99,1406074.5,4082242.05,4082242.05,1343687.36,1343687.36,3731117.8585714283,1887750.5520716058,3909241.7721428573,1397065.4508832055,3921245.8996428573,1084431.6890970299,4474879.043035714,1477412.1090061823,4314269.5193406595,1500152.7220605246,2961580.440794521,1713408.602089103,3921245.8996428573,1084431.6890970299,3423537.540714286,1052079.370263588,4314269.5193406595,1500152.7220605246,3610398.3893406596,1226329.2595815968,2961580.440794521,1713408.602089103,2506648.2969589042,1449820.2756387242,3423537.540714286,0.044369725786222496,1406074.5,706367.78,0.044369725786222496,0.15896105245240855,3731117.858571428,-160027.01801120432,346791.10857142886,3698419.6214285707,-141151.0362745096,353255.0135439569,2961580.44079452,-1724290.8538082193,-18494.422178081702,2506648.2969589047,-1360629.858438356,33429.68306849268
2023-01-06,1878817.85,5907160.01,3814525.81,3948452.32,3323078.36,2077312.99,1406074.5,5907160.01,3948452.32,2077312.99,5911751.11,5911751.11,1986626.45,1986626.45,3118125.5942857144,1755418.0165988174,3752219.511428572,1526109.0548338674,3837951.6796428566,1168569.1719116648,4444399.325178571,1518637.8768304104,4303156.385714285,1516444.4567959418,2960317.156328767,1714232.1421499187,3837951.6796428566,1168569.1719116648,3368159.7064285716,1104986.3682033836,4303156.385714285,1516444.4567959418,3601950.802967033,1237387.692791525,2960317.156328767,1714232.1421499187,2505662.877150685,1450296.8527051378,3368159.7064285716,0.04365569388751574,2077312.99,1406074.5,0.04365569388751574,0.15791848528519212,3118125.594285714,13520.35148459409,20598.25365384617,3086304.922857142,19687.00927170883,32364.901510989766,2960317.1563287666,-1457639.6539041097,68026.99982191785,2505662.8771506855,-1079116.8443287672,149057.87427397282
2023-01-07,1616214.16,5094915.79,5129834.24,3733884.76,4782841.68,2024009.16,2077312.99,5094915.79,3733884.76,2024009.16,4949985.1,4949985.1,2068227.77,2068227.77,2639067.5671428577,1574264.4018852909,3510196.322857143,1559146.5586721431,3766795.4239285714,1233970.1819858027,4390089.8237499995,1560129.6651351764,4283784.062417583,1537870.8159361696,2959543.184931507,1714719.7487372558,3766795.4239285714,1233970.1819858027,3321930.660714286,1146831.6990711673,4283784.062417583,1537870.8159361696,3585632.285714286,1252446.695840684,2959543.184931507,1714719.7487372558,2504695.3844383564,1450707.1972889083,3321930.660714286,-0.021847040455093645,2024009.16,2077312.99,-0.021847040455093645,0.1571309160692352,2639067.5671428572,55575.380112044986,-1669798.928214286,2624177.4699999997,55697.75781512615,-1782085.8151648352,2959543.1849315064,-903353.3557945205,-11961.314643835416,2504695.3844383564,-533496.6527123287,50269.485712328926
2023-01-08,1741509.6,4975867.15,5015283.26,3994102.54,5666923.8,1848400.71,2024009.16,4975867.15,3994102.54,1848400.71,5024857.74,5024857.74,1796794.0,1796794.0,2294393.6,1196061.6426126305,3335043.902857143,1514146.3177142886,3715689.953928571,1253681.8488706748,4334665.280535715,1569050.857073375,4278688.448791209,1542842.0253672583,2961501.400465753,1713855.2390714455,3715689.953928571,1253681.8488706748,3296828.3717857148,1156772.5261376994,4278688.448791209,1542842.0253672583,3582880.5284615383,1254535.2736378473,2961501.400465753,1713855.2390714455,2506671.591068493,1450231.4419334182,3296828.3717857148,0.02791965493239827,1848400.71,2024009.16,0.02791965493239827,0.15638614328811784,2294393.6,71070.24207282935,-221924.89739011007,2266070.5671428572,57687.098599439894,-162188.22637362656,2961501.400465753,-647661.2643424658,-158303.50043835584,2506671.591068493,-259417.95730136964,-53269.760465753265
2023-01-09,2563149.38,4397949.68,3255836.16,3221511.31,5250104.11,2881762.16,1848400.71,4397949.68,3221511.31,2881762.16,4326458.07,4326458.07,2884926.26,2884926.26,2049802.627142857,805488.2962914823,3294327.9535714285,1524071.6204892523,3696557.866785714,1265534.2314717027,4288874.365535715,1579233.976237043,4274025.367472528,1547048.572760352,2960964.5530958907,1713910.9738152514,3696557.866785714,1265534.2314717027,3299838.0664285715,1155061.1135922174,4274025.367472528,1547048.572760352,3582789.541428571,1254599.221045893,2960964.5530958907,1713910.9738152514,2506183.1654520547,1450133.716515286,3299838.0664285715,-0.0010979740257258523,2881762.16,1848400.71,-0.0010979740257258523,0.15490445647678328,2049802.627142857,315802.66826330544,-438856.9705219783,2034669.5442857142,268359.5652100842,-420517.40170329675,2960964.55309589,-786001.3233698632,-5634.220616438426,2506183.1654520547,-493186.1419726026,68603.4729041094
2023-01-10,2685812.87,3132513.38,3202321.56,3618435.07,3858160.76,2456330.77,2881762.16,3132513.38,3618435.07,2456330.77,3101143.37,3101143.37,2270775.74,2270775.74,1962887.687142857,694345.3387264423,3245884.1849999996,1537936.7583034558,3657474.785714286,1284787.6328076809,4265052.009107143,1595824.0981534615,4274226.936593407,1546816.7991921394,2961150.2463287674,1713859.820129578,3657474.785714286,1284787.6328076809,3282983.0639285715,1164216.0490188773,4274226.936593407,1546816.7991921394,3586142.58098901,1251111.2213870618,2961150.2463287674,1713859.820129578,2506668.89879452,1450084.3403036569,3282983.0639285715,0.07554154850244367,2456330.77,2881762.16,0.07554154850244367,0.1536443456661616,1962887.687142857,-6831.962885153891,-267546.4701923075,1941373.1214285712,-16120.972633053065,-273066.0438186812,2961150.246328767,-66989.84991780808,-243021.32153424667,2506668.8987945206,318604.1179452054,-149723.0759315067
