Date,prod_avg_unit_price_91d_gap549,prod_units_per_order_91d_gap549,prod_margin_pct_91d_gap549,prod_discount_rate_91d_gap549,prod_high_price_revenue_share_91d_gap549,prod_high_price_unit_share_91d_gap549,prod_casual_revenue_share_91d_gap549,exp_category_share_casual,prod_genz_revenue_share_91d_gap549,exp_category_share_genz,prod_outdoor_revenue_share_91d_gap549,exp_category_share_outdoor,prod_streetwear_revenue_share_91d_gap549,exp_category_share_streetwear,prod_balanced_segment_revenue_share_91d_gap549,prod_everyday_segment_revenue_share_91d_gap549,prod_performance_segment_revenue_share_91d_gap549,prod_premium_segment_revenue_share_91d_gap549,prod_category_entropy_91d_gap549
2012-07-04,,,,,,,,,,,,,,,,,,,-0.0
2012-07-05,,,,,,,,,,,,,,,,,,,-0.0
2012-07-06,,,,,,,,,,,,,,,,,,,-0.0
2012-07-07,,,,,,,,,,,,,,,,,,,-0.0
2012-07-08,,,,,,,,,,,,,,,,,,,-0.0
2012-07-09,,,,,,,,,,,,,,,,,,,-0.0
2012-07-10,,,,,,,,,,,,,,,,,,,-0.0
2012-07-11,,,,,,,,,,,,,,,,,,,-0.0
2012-07-12,,,,,,,,,,,,,,,,,,,-0.0
2012-07-13,,,,,,,,,,,,,,,,,,,-0.0
2012-07-14,,,,,,,,,,,,,,,,,,,-0.0
2012-07-15,,,,,,,,,,,,,,,,,,,-0.0
2012-07-16,,,,,,,,,,,,,,,,,,,-0.0
2012-07-17,,,,,,,,,,,,,,,,,,,-0.0
2012-07-18,,,,,,,,,,,,,,,,,,,-0.0
2012-07-19,,,,,,,,,,,,,,,,,,,-0.0
2012-07-20,,,,,,,,,,,,,,,,,,,-0.0
2012-07-21,,,,,,,,,,,,,,,,,,,-0.0
2012-07-22,,,,,,,,,,,,,,,,,,,-0.0
2012-07-23,,,,,,,,,,,,,,,,,,,-0.0
2012-07-24,,,,,,,,,,,,,,,,,,,-0.0
2012-07-25,,,,,,,,,,,,,,,,,,,-0.0
2012-07-26,,,,,,,,,,,,,,,,,,,-0.0
2012-07-27,,,,,,,,,,,,,,,,,,,-0.0
2012-07-28,,,,,,,,,,,,,,,,,,,-0.0
2012-07-29,,,,,,,,,,,,,,,,,,,-0.0
2012-07-30,,,,,,,,,,,,,,,,,,,-0.0
2012-07-31,,,,,,,,,,,,,,,,,,,-0.0
2012-08-01,,,,,,,,,,,,,,,,,,,-0.0
2012-08-02,,,,,,,,,,,,,,,,,,,-0.0
2012-08-03,,,,,,,,,,,,,,,,,,,-0.0
2012-08-04,,,,,,,,,,,,,,,,,,,-0.0
2012-08-05,,,,,,,,,,,,,,,,,,,-0.0
2012-08-06,,,,,,,,,,,,,,,,,,,-0.0
2012-08-07,,,,,,,,,,,,,,,,,,,-0.0
2012-08-08,,,,,,,,,,,,,,,,,,,-0.0
2012-08-09,,,,,,,,,,,,,,,,,,,-0.0
2012-08-10,,,,,,,,,,,,,,,,,,,-0.0
2012-08-11,,,,,,,,,,,,,,,,,,,-0.0
2012-08-12,,,,,,,,,,,,,,,,,,,-0.0
2012-08-13,,,,,,,,,,,,,,,,,,,-0.0
2012-08-14,,,,,,,,,,,,,,,,,,,-0.0
2012-08-15,,,,,,,,,,,,,,,,,,,-0.0
2012-08-16,,,,,,,,,,,,,,,,,,,-0.0
2012-08-17,,,,,,,,,,,,,,,,,,,-0.0
2012-08-18,,,,,,,,,,,,,,,,,,,-0.0
2012-08-19,,,,,,,,,,,,,,,,,,,-0.0
2012-08-20,,,,,,,,,,,,,,,,,,,-0.0
2012-08-21,,,,,,,,,,,,,,,,,,,-0.0
2012-08-22,,,,,,,,,,,,,,,,,,,-0.0
2012-08-23,,,,,,,,,,,,,,,,,,,-0.0
2012-08-24,,,,,,,,,,,,,,,,,,,-0.0
2012-08-25,,,,,,,,,,,,,,,,,,,-0.0
2012-08-26,,,,,,,,,,,,,,,,,,,-0.0
2012-08-27,,,,,,,,,,,,,,,,,,,-0.0
2012-08-28,,,,,,,,,,,,,,,,,,,-0.0
2012-08-29,,,,,,,,,,,,,,,,,,,-0.0
2012-08-30,,,,,,,,,,,,,,,,,,,-0.0
2012-08-31,,,,,,,,,,,,,,,,,,,-0.0
2012-09-01,,,,,,,,,,,,,,,,,,,-0.0
2012-09-02,,,,,,,,,,,,,,,,,,,-0.0
2012-09-03,,,,,,,,,,,,,,,,,,,-0.0
