Date,mkt_promo_line_share_91d_gap549,daily_promo_line_share_lag_365,mkt_discount_rate_91d_gap549,daily_discount_rate_lag_365,mkt_promo_revenue_share_91d_gap549,mkt_discount_amount_sum_91d_gap549,active_promo_count,is_any_promo_active,active_discount_avg,active_discount_max,active_discount_sum,active_percentage_promo_count,active_fixed_promo_count,has_fixed_discount_promo,active_stackable_promo_count,has_stackable_promo,active_min_order_promo_count,active_min_order_avg,sitewide_promo_count,category_promo_count,has_streetwear_promo,has_outdoor_promo,email_promo_count,online_promo_count,all_channels_promo_count,social_promo_count,in_store_promo_count,is_spring_sale_active,is_mid_year_sale_active,is_fall_launch_active,is_year_end_sale_active,is_urban_blowout_active,is_rural_special_active,promo_day_index,promo_days_remaining,promo_progress_ratio,days_to_next_promo_start,days_since_last_promo_end,active_email_promo_count,active_online_promo_count,active_all_channels_promo_count,active_social_promo_count,active_in_store_promo_count,active_sitewide_promo_count,active_category_promo_count,mkt_active_promo_count_gap549,mkt_active_promo_count_roll_mean_28d_gap549,mkt_email_promo_count_gap549,mkt_email_promo_count_roll_mean_28d_gap549,mkt_online_promo_count_gap549,mkt_online_promo_count_roll_mean_28d_gap549,mkt_sitewide_promo_count_gap549,mkt_sitewide_promo_count_roll_mean_28d_gap549,mkt_category_promo_count_gap549,mkt_category_promo_count_roll_mean_28d_gap549,mkt_active_discount_avg_gap549,mkt_active_discount_avg_roll_mean_28d_gap549,mkt_avg_discount_value_gap549,mkt_avg_discount_value_roll_mean_28d_gap549,expected_promo_line_share_month,expected_discount_rate_month,expected_promo_revenue_share_month,expected_active_promo_count_month,expected_email_promo_month,expected_online_promo_month,expected_sitewide_promo_month,expected_category_promo_month,mkt_web_sessions_91d_gap549,mkt_web_pageviews_per_session_91d_gap549,mkt_web_bounce_rate_91d_gap549,mkt_web_avg_session_duration_91d_gap549,exp_sessions_direct,exp_bounce_rate_direct,exp_sessions_email_campaign,exp_bounce_rate_email_campaign,exp_sessions_organic_search,exp_bounce_rate_organic_search,exp_sessions_paid_search,exp_bounce_rate_paid_search,exp_sessions_referral,exp_bounce_rate_referral,exp_sessions_social_media,exp_bounce_rate_social_media,mkt_direct_session_share_91d_gap549,mkt_email_campaign_session_share_91d_gap549,mkt_organic_search_session_share_91d_gap549,mkt_paid_search_session_share_91d_gap549,mkt_social_media_session_share_91d_gap549
2012-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
