Date,Revenue,COGS
01/01/2023,2219142.1596187614,2105834.329490182
01/02/2023,2138625.7212923677,2045568.0207700462
01/03/2023,2083370.5106476774,2004299.2284543086
01/04/2023,2045451.0700110658,1976039.438608735
01/05/2023,2019428.4748310458,1956687.873484029
01/06/2023,2001570.2087666097,1943436.4277081713
01/07/2023,1989314.7951684664,1934362.1841511836
01/08/2023,1980904.3950814917,1928148.3794445645
01/09/2023,1975132.6739513536,1923893.3284654368
01/10/2023,1971171.7726316084,1920979.5808197008
01/11/2023,1968453.5645077203,1918984.3226231064
01/12/2023,1966588.1670114638,1917618.0219838237
01/13/2023,1965308.019333124,1916682.4150332594
01/14/2023,1964429.5051924929,1916041.7358585766
01/15/2023,1963826.6160818478,1915603.0155127896
01/16/2023,1963412.8774031815,1915302.5912920355
01/17/2023,1963128.9450992104,1915096.8686414168
01/18/2023,1962934.0937174198,1914955.9951496876
01/19/2023,1962800.3750089293,1914859.528666234
01/20/2023,1962708.609208574,1914793.4709408544
01/21/2023,1962645.6340107883,1914748.2363378492
01/22/2023,1962602.416651807,1914717.260864545
01/23/2023,1962572.758307205,1914696.0496703999
01/24/2023,1962552.4049717567,1914681.524799298
01/25/2023,1962538.4372918531,1914671.5785473764
01/26/2023,1962528.8518318983,1914664.7676141437
01/27/2023,1962522.273714188,1914660.1036651642
01/28/2023,1962517.7594151543,1914656.90991486
01/29/2023,1962514.6614323175,1914654.7229181647
01/30/2023,1962512.5354106282,1914653.225320015
01/31/2023,1962511.0764069923,1914652.1998039628
02/01/2023,1962510.075151163,1914651.4975573863
02/02/2023,1962509.3880293414,1914651.0166772937
02/03/2023,1962508.9164851229,1914650.6873831807
02/04/2023,1962508.5928831894,1914650.461891183
02/05/2023,1962508.3708081278,1914650.3074801592
02/06/2023,1962508.2184068968,1914650.2017435278
02/07/2023,1962508.1138200287,1914650.1293378475
02/08/2023,1962508.042046245,1914650.079756331
02/09/2023,1962507.9927907684,1914650.045804205
02/10/2023,1962507.9589887052,1914650.0225546767
02/11/2023,1962507.9357917015,1914650.006634008
02/12/2023,1962507.9198725258,1914649.9957319503
02/13/2023,1962507.9089478324,1914649.9882665062
02/14/2023,1962507.9014506524,1914649.9831543653
02/15/2023,1962507.8963056377,1914649.979653705
02/16/2023,1962507.8927748199,1914649.9772565442
02/17/2023,1962507.890351761,1914649.975615031
02/18/2023,1962507.8886889124,1914649.974490966
02/19/2023,1962507.887547766,1914649.9737212355
02/20/2023,1962507.886764643,1914649.9731941442
02/21/2023,1962507.886227217,1914649.972833206
02/22/2023,1962507.885858403,1914649.9725860448
02/23/2023,1962507.8856053008,1914649.9724167953
02/24/2023,1962507.8854316068,1914649.9723008978
02/25/2023,1962507.8853124075,1914649.9722215342
02/26/2023,1962507.885230606,1914649.972167188
02/27/2023,1962507.8851744689,1914649.9721299734
02/28/2023,1962507.8851359442,1914649.9721044896
03/01/2023,1962507.8851095063,1914649.972087039
03/02/2023,1962507.885091363,1914649.972075089
03/03/2023,1962507.885078912,1914649.9720669063
03/04/2023,1962507.8850703673,1914649.972061303
03/05/2023,1962507.8850645034,1914649.972057466
03/06/2023,1962507.8850604794,1914649.9720548384
03/07/2023,1962507.8850577178,1914649.9720530391
03/08/2023,1962507.8850558226,1914649.972051807
03/09/2023,1962507.885054522,1914649.9720509632
03/10/2023,1962507.8850536295,1914649.9720503855
03/11/2023,1962507.885053017,1914649.97204999
03/12/2023,1962507.8850525967,1914649.972049719
03/13/2023,1962507.8850523082,1914649.9720495334
03/14/2023,1962507.8850521103,1914649.9720494063
03/15/2023,1962507.8850519746,1914649.9720493192
03/16/2023,1962507.8850518814,1914649.9720492596
03/17/2023,1962507.8850518174,1914649.9720492188
03/18/2023,1962507.8850517734,1914649.972049191
03/19/2023,1962507.8850517434,1914649.9720491718
03/20/2023,1962507.8850517226,1914649.9720491588
03/21/2023,1962507.8850517084,1914649.9720491497
03/22/2023,1962507.8850516987,1914649.9720491436
03/23/2023,1962507.885051692,1914649.9720491394
03/24/2023,1962507.8850516872,1914649.9720491366
03/25/2023,1962507.885051684,1914649.9720491348
03/26/2023,1962507.885051682,1914649.9720491334
03/27/2023,1962507.8850516805,1914649.9720491325
03/28/2023,1962507.8850516796,1914649.9720491318
03/29/2023,1962507.8850516789,1914649.9720491313
03/30/2023,1962507.8850516784,1914649.972049131
03/31/2023,1962507.8850516782,1914649.9720491308
04/01/2023,1962507.885051678,1914649.9720491306
04/02/2023,1962507.8850516777,1914649.9720491306
04/03/2023,1962507.8850516777,1914649.9720491306
04/04/2023,1962507.8850516777,1914649.9720491306
04/05/2023,1962507.8850516777,1914649.9720491306
04/06/2023,1962507.8850516777,1914649.9720491306
04/07/2023,1962507.8850516777,1914649.9720491306
04/08/2023,1962507.8850516777,1914649.9720491306
04/09/2023,1962507.8850516777,1914649.9720491306
04/10/2023,1962507.8850516777,1914649.9720491306
04/11/2023,1962507.8850516777,1914649.9720491306
04/12/2023,1962507.8850516777,1914649.9720491306
04/13/2023,1962507.8850516777,1914649.9720491306
04/14/2023,1962507.8850516777,1914649.9720491306
04/15/2023,1962507.8850516777,1914649.9720491306
04/16/2023,1962507.8850516777,1914649.9720491306
04/17/2023,1962507.8850516777,1914649.9720491306
04/18/2023,1962507.8850516777,1914649.9720491306
04/19/2023,1962507.8850516777,1914649.9720491306
04/20/2023,1962507.8850516777,1914649.9720491306
04/21/2023,1962507.8850516777,1914649.9720491306
04/22/2023,1962507.8850516777,1914649.9720491306
04/23/2023,1962507.8850516777,1914649.9720491306
04/24/2023,1962507.8850516777,1914649.9720491306
04/25/2023,1962507.8850516777,1914649.9720491306
04/26/2023,1962507.8850516777,1914649.9720491306
04/27/2023,1962507.8850516777,1914649.9720491306
04/28/2023,1962507.8850516777,1914649.9720491306
04/29/2023,1962507.8850516777,1914649.9720491306
04/30/2023,1962507.8850516777,1914649.9720491306
05/01/2023,1962507.8850516777,1914649.9720491306
05/02/2023,1962507.8850516777,1914649.9720491306
05/03/2023,1962507.8850516777,1914649.9720491306
05/04/2023,1962507.8850516777,1914649.9720491306
05/05/2023,1962507.8850516777,1914649.9720491306
05/06/2023,1962507.8850516777,1914649.9720491306
05/07/2023,1962507.8850516777,1914649.9720491306
05/08/2023,1962507.8850516777,1914649.9720491306
05/09/2023,1962507.8850516777,1914649.9720491306
05/10/2023,1962507.8850516777,1914649.9720491306
05/11/2023,1962507.8850516777,1914649.9720491306
05/12/2023,1962507.8850516777,1914649.9720491306
05/13/2023,1962507.8850516777,1914649.9720491306
05/14/2023,1962507.8850516777,1914649.9720491306
05/15/2023,1962507.8850516777,1914649.9720491306
05/16/2023,1962507.8850516777,1914649.9720491306
05/17/2023,1962507.8850516777,1914649.9720491306
05/18/2023,1962507.8850516777,1914649.9720491306
05/19/2023,1962507.8850516777,1914649.9720491306
05/20/2023,1962507.8850516777,1914649.9720491306
05/21/2023,1962507.8850516777,1914649.9720491306
05/22/2023,1962507.8850516777,1914649.9720491306
05/23/2023,1962507.8850516777,1914649.9720491306
05/24/2023,1962507.8850516777,1914649.9720491306
05/25/2023,1962507.8850516777,1914649.9720491306
05/26/2023,1962507.8850516777,1914649.9720491306
05/27/2023,1962507.8850516777,1914649.9720491306
05/28/2023,1962507.8850516777,1914649.9720491306
05/29/2023,1962507.8850516777,1914649.9720491306
05/30/2023,1962507.8850516777,1914649.9720491306
05/31/2023,1962507.8850516777,1914649.9720491306
06/01/2023,1962507.8850516777,1914649.9720491306
06/02/2023,1962507.8850516777,1914649.9720491306
06/03/2023,1962507.8850516777,1914649.9720491306
06/04/2023,1962507.8850516777,1914649.9720491306
06/05/2023,1962507.8850516777,1914649.9720491306
06/06/2023,1962507.8850516777,1914649.9720491306
06/07/2023,1962507.8850516777,1914649.9720491306
