Date,Revenue,COGS
2023-01-01,1868121.446818883,1841787.8826872695
2023-01-02,1819484.6417145494,1838174.0534335072
2023-01-03,1715166.5504286506,1740352.4672623794
2023-01-04,1145671.027041299,1336112.8471716098
2023-01-05,972941.0586727962,1303354.4463445325
2023-01-06,1203402.366141543,1374671.3478956316
2023-01-07,1360059.83352321,1331326.852755239
2023-01-08,1619386.990353843,1455666.8119251956
2023-01-09,1901822.7429820022,1602966.15560373
2023-01-10,2052935.3333672057,1863299.7989241623
2023-01-11,1901031.2930762304,1801324.2429731288
2023-01-12,1776374.1901223226,1664984.2188689348
2023-01-13,1898751.3095920614,1889913.6492195406
2023-01-14,1671014.3396876832,1923728.2809634195
2023-01-15,1941707.8702996017,2032417.7972103811
2023-01-16,2319721.657519062,2094003.1342862246
2023-01-17,2290775.476477467,2146905.8452495765
2023-01-18,2060664.88942005,1850687.1855355117
2023-01-19,2024993.9048206839,2079304.243639663
2023-01-20,2121308.5415882994,2075652.7886747692
2023-01-21,2123701.305847228,2160869.151485693
2023-01-22,2269813.130901879,2165210.121610788
2023-01-23,2552783.6030722936,2327568.4243298443
2023-01-24,2634299.112055058,2514538.5896380055
2023-01-25,2424522.050643492,2182460.6083467733
2023-01-26,2386365.519602403,2399524.6853462793
2023-01-27,2405237.9499882623,2462456.5818530694
2023-01-28,3078408.4086562917,2523865.061086271
2023-01-29,3238179.4455209062,2745449.660757168
2023-01-30,2764885.679239261,2845778.012724259
2023-01-31,2896449.5019405065,2756372.7062357464
2023-02-01,2322285.888919008,2016850.6541857834
2023-02-02,2032169.7117368907,1762199.2885399468
2023-02-03,1916933.5759751056,1461272.8800849915
2023-02-04,1747397.6783902682,1438689.655596196
2023-02-05,1861524.907193615,1556107.143319369
2023-02-06,1909519.6267458033,1702455.8168256006
2023-02-07,2070910.6857151838,1548854.220931711
2023-02-08,2123329.750072174,1720528.7457803555
2023-02-09,2115219.080454745,1707124.4977657232
2023-02-10,1961051.8820458923,1672952.9031644852
2023-02-11,2065946.7840563953,1639375.0707777892
2023-02-12,2293371.374478176,1830690.7342835388
2023-02-13,2463509.4213926685,2082880.371904129
2023-02-14,2768719.8055912866,2219282.4190510246
2023-02-15,2483530.379277861,2309577.4994705264
2023-02-16,2329758.910101548,2071515.7182359872
2023-02-17,2576728.483380942,1953570.4724278315
2023-02-18,2388582.02604414,1962269.4738944983
2023-02-19,2419817.8953750725,2258158.0813444545
2023-02-20,2750997.3013233826,2479458.699617698
2023-02-21,2865794.117478792,2553745.388123405
2023-02-22,2976921.033753344,2646507.0270622987
2023-02-23,3235067.306574517,2569958.1332218787
2023-02-24,3176538.5417958032,2431319.2610638468
2023-02-25,3155849.9812824894,2248732.915792932
2023-02-26,3165317.952110933,2673321.393860685
2023-02-27,3392738.3442757223,2927360.714912122
2023-02-28,4110348.88979977,3102631.995297963
2023-03-01,4053084.3287849184,2497405.6057524867
