Date,Revenue,COGS
2023-01-01,1966622.4158202189,1832410.805526713
2023-01-02,1730781.0066725668,1529992.4883136419
2023-01-03,1632253.0209287268,1446674.5891176467
2023-01-04,1526517.9559964137,1065050.1355231008
2023-01-05,1447856.0781729445,1016214.4576507399
2023-01-06,1561583.53249386,1306729.8386503814
2023-01-07,1588759.94361178,1282706.0571689429
2023-01-08,1725745.75318762,1336286.5156210298
2023-01-09,1940093.4243308743,1575068.7116564186
2023-01-10,1882627.845707767,1577476.5777435175
2023-01-11,1894079.550024873,1583759.469038671
2023-01-12,1874928.8788802964,1602956.7070942565
2023-01-13,1940594.5658470667,1607739.9942411971
2023-01-14,1985160.3103428662,1675413.1008928015
2023-01-15,1994806.5837466668,1755943.8928983838
2023-01-16,2071158.5424721448,1879045.8354733274
2023-01-17,2008729.7043443958,1812552.875627275
2023-01-18,2130598.7075529136,1788144.8448075033
2023-01-19,2086551.4551236446,1703888.0739173891
2023-01-20,2102538.907066746,1800082.8060508664
2023-01-21,2073216.0314030815,1812096.171667448
2023-01-22,2131982.902038313,1920026.4635254839
2023-01-23,2214758.5911083994,2071591.3601148773
2023-01-24,2191316.225204356,2043108.3903711406
2023-01-25,2438873.975878292,2063525.9502195048
2023-01-26,2435903.0422205613,2111967.4001916097
2023-01-27,2529724.290479839,2224355.6436433718
2023-01-28,2871372.378322641,2413739.6095523443
2023-01-29,3029943.35489117,2733365.1039470593
2023-01-30,3052114.8594160215,2863760.906906894
2023-01-31,3038512.9666368486,2774876.799589925
2023-02-01,2419522.409553109,1955179.6261214868
2023-02-02,2154859.708367483,1421781.190261957
2023-02-03,1910275.6416289601,1484315.162212483
2023-02-04,1792039.1519093409,1349339.026999482
2023-02-05,1828439.094458675,1447085.8134469902
2023-02-06,1987541.993752701,1665981.532248868
2023-02-07,1963916.3286192743,1601454.1602387787
2023-02-08,2075480.3222683764,1604755.6142621404
2023-02-09,2137509.5157976155,1598253.4246517634
2023-02-10,2123229.86022458,1788490.788571685
2023-02-11,2193812.630836731,1756747.9162836997
2023-02-12,2371369.536891378,1933563.3234092232
2023-02-13,2427897.2718280097,2110964.403448159
2023-02-14,2743537.081083928,2197176.489197495
2023-02-15,2784015.626794006,2247350.02834393
2023-02-16,2747657.578435469,2152529.37243591
2023-02-17,2699635.4819508633,1981576.438108907
2023-02-18,2732594.028745057,2087616.4001726655
2023-02-19,2766195.275017065,2229733.2511171233
2023-02-20,2937778.966292387,2570111.180558219
2023-02-21,2890975.8574128295,2519588.9549304494
2023-02-22,3065732.5947563127,2670395.9084216193
2023-02-23,3221245.267165147,2783209.0203334037
2023-02-24,3109838.9868779443,2604189.8631318654
2023-02-25,3257456.710903165,2731751.279723583
2023-02-26,3415069.388795878,2877310.4920696523
2023-02-27,3546717.516838927,3335851.7307424336
2023-02-28,3885491.162206983,3247259.3062083176
2023-03-01,3289300.7409224566,2446911.7664878303
2023-03-02,2661830.889515853,1500610.0258796243
2023-03-03,2521874.5646344544,1395739.4692480182
2023-03-04,2312075.517854654,1269019.3595078762
2023-03-05,2360516.2493437035,1453955.8570874291
2023-03-06,2537680.6934338235,1765134.328121085
2023-03-07,2644485.972627072,1843945.792727842
2023-03-08,2793482.8615394263,2055438.0968102487
2023-03-09,2853658.8984438833,2289687.7250265554
2023-03-10,2647767.229660987,2190837.0194829735
2023-03-11,3030285.046054245,2310192.1798849534
2023-03-12,3459697.186952885,2518579.515571965
2023-03-13,3663474.4556342927,2786247.4550679396
2023-03-14,3866933.113631044,2881941.9064637464
2023-03-15,3946025.2921557403,3019059.9062827635
2023-03-16,3923281.4652392906,2928012.051928269
2023-03-17,3687241.2372896364,2889868.0442775586
2023-03-18,3682802.445827176,2894263.143598703
2023-03-19,3723275.6260163365,2908162.5511764446
2023-03-20,3883870.6593193915,3051668.3729711394
2023-03-21,3928291.0571469823,3222049.0960844676
2023-03-22,4010461.945970524,3273676.2391475136
2023-03-23,3966323.7590711126,3196683.8936362267
2023-03-24,3788114.1933376533,2955568.898961946
2023-03-25,3810671.1114615235,2907791.1573926173
2023-03-26,3816808.8390027024,3071477.8824551166
2023-03-27,4142855.911524978,3789519.273118401
2023-03-28,4948033.342241573,4353001.196823514
2023-03-29,5495499.687842301,4499105.77474564
2023-03-30,7771750.859132701,7702819.848657185
2023-03-31,8066472.940379345,8073694.388322633
2023-04-01,7640536.9672775725,7528460.446232419
2023-04-02,6230524.464928518,6885095.038682774
2023-04-03,5203176.5592977675,6219666.981164478
2023-04-04,3587541.139839672,2546090.422471275
2023-04-05,3086768.8978121704,2432303.8417506255
2023-04-06,3239418.7054283754,2434140.864584753
2023-04-07,3136815.830785207,2394125.324360374
2023-04-08,3176041.2012137645,2476824.6486457004
2023-04-09,3218058.9434493417,2692471.220902654
2023-04-10,3477060.545634655,2818219.4179399502
2023-04-11,3639199.729918357,3054288.1461879625
2023-04-12,4024615.91486602,3594138.384388245
2023-04-13,4103685.2652329337,3192900.4877855005
2023-04-14,3965615.257354448,3236342.1245565168
2023-04-15,3984889.907989661,3154368.7260135296
2023-04-16,4021996.4047161783,3303529.44021857
2023-04-17,4181513.911231394,3487562.208486147
2023-04-18,4366805.990059456,3615922.989713626
2023-04-19,4380841.2021513805,3806312.8306430522
2023-04-20,4410146.508261998,3543409.469545569
2023-04-21,3983920.9013529075,3250524.480000938
2023-04-22,4016632.83751917,3289458.630709757
2023-04-23,4067428.6182143334,3348487.7321854974
2023-04-24,4210140.839043534,3537394.594217566
2023-04-25,4605993.967634518,3921314.234742336
2023-04-26,4727795.29740838,4221092.834231476
2023-04-27,4928821.054709404,4049985.7553929477
2023-04-28,5265169.600114584,4371670.247220279
2023-04-29,6635963.432978665,5037941.252778865
2023-04-30,7018952.28479049,5527178.247259754
2023-05-01,6588146.238488147,5003403.263591407
2023-05-02,5312846.33221711,4032135.102454703
2023-05-03,4469866.408524531,3619856.0074109756
2023-05-04,3472581.4755770084,2280747.8410609323
2023-05-05,3133671.1253156853,2262181.3745519905
2023-05-06,3120926.997970581,2082837.780408878
2023-05-07,3156109.1606043694,2344849.8135769274
2023-05-08,3382382.1986342035,2539158.8291538097
2023-05-09,3535681.375750669,2616215.253569764
2023-05-10,3640771.8090491653,3168548.350388346
2023-05-11,3657267.0475393957,2952388.6727500698
2023-05-12,3643340.8484270056,2984616.329548398
2023-05-13,3761027.3917640704,3031878.4509039526
2023-05-14,3946297.479649881,3249263.36636735
2023-05-15,4201350.938541819,3380564.479250084
2023-05-16,4397945.970287499,3518292.6043295963
2023-05-17,4469504.852594026,3901419.4064524006
2023-05-18,4439265.643480677,3499544.2078797496
2023-05-19,3987153.367709681,3202578.9754053205
2023-05-20,4023809.9607603513,3161602.760570175
2023-05-21,4105982.113870085,3243761.180525691
2023-05-22,4317319.841258945,3390024.838381216
2023-05-23,4509954.964172793,3558504.8172311275
2023-05-24,4567657.901437323,3894331.7626686296
2023-05-25,4695894.205489334,3683723.61634009
2023-05-26,4066938.619707124,3334295.322379493
2023-05-27,4329309.699836533,3669565.7049276643
2023-05-28,5195552.704647327,4218229.170132468
2023-05-29,6710012.348008078,5295850.713131022
2023-05-30,7903457.95314179,6430032.331292318
2023-05-31,8259630.553974288,6884572.485821381
2023-06-01,7637390.826190545,6112802.6784031
2023-06-02,5933013.840545328,4866351.512619267
2023-06-03,5012904.211348596,3749037.6554183196
2023-06-04,3495994.1295703314,2337370.965102985
2023-06-05,3333832.4654569663,2391382.463629224
2023-06-06,3512198.083565788,2445407.015551683
2023-06-07,3621938.653229634,2816482.514947479
2023-06-08,3674234.3252347508,2561847.4507421283
2023-06-09,3383147.0062360163,2583197.390138845
2023-06-10,3427735.358146611,2614057.59572089
2023-06-11,3505936.001378485,2765035.3531616833
2023-06-12,3905217.512494765,3057617.0512278504
2023-06-13,4141522.6352299424,3274733.5402499787
2023-06-14,4322219.911292661,3683486.2650016462
2023-06-15,4323770.276645846,3383372.344298515
2023-06-16,3929776.0657901783,3085344.9747104966
2023-06-17,3893151.7803639676,2968382.7103710226
2023-06-18,3950792.958813103,3060941.9022522527
2023-06-19,4149607.617813007,3256956.197501803
2023-06-20,4293676.153841105,3377016.5497848233
2023-06-21,4297907.7685993975,3629043.698401225
