Date,Revenue,COGS
2023-01-01,2411561.2,2418581.5
2023-01-02,1914775.0,1944985.1
2023-01-03,1539588.0,1543135.8
2023-01-04,1264366.0,1230438.0
2023-01-05,1202702.0,1130769.5
2023-01-06,1252707.8,1124418.5
2023-01-07,1400318.0,1210293.5
2023-01-08,1580146.8,1340510.5
2023-01-09,1735686.2,1479252.5
2023-01-10,1829344.5,1555542.5
2023-01-11,1835131.5,1574676.0
2023-01-12,1794158.2,1530126.0
2023-01-13,1780355.5,1500037.0
2023-01-14,1817453.2,1510577.0
2023-01-15,1885496.0,1574432.5
2023-01-16,1924369.5,1636887.1
2023-01-17,1919734.2,1646231.4
2023-01-18,1897270.5,1605465.5
2023-01-19,1879661.5,1566664.8
2023-01-20,1896640.8,1553423.2
2023-01-21,1958478.5,1599247.9
2023-01-22,2055239.0,1709947.4
2023-01-23,2233739.8,1904693.2
2023-01-24,2373019.2,2035740.1
2023-01-25,2444528.8,2061597.2
2023-01-26,2437553.5,2056032.5
2023-01-27,2480107.5,2126254.0
2023-01-28,2533904.8,2235488.5
2023-01-29,2739339.2,2474003.2
2023-01-30,2984118.8,2658724.2
2023-01-31,3207236.5,2847002.8
2023-02-01,2291844.0,2013544.1
2023-02-02,1616103.0,1445265.5
2023-02-03,1239903.5,1143439.2
2023-02-04,1230990.0,1118754.8
2023-02-05,1432779.2,1275591.0
2023-02-06,1613991.8,1401370.2
2023-02-07,1723134.2,1466448.2
2023-02-08,1761102.8,1498867.5
2023-02-09,1802442.0,1570306.2
2023-02-10,1902143.8,1710171.9
2023-02-11,2145529.5,1902408.1
2023-02-12,2437454.2,2128221.5
2023-02-13,2585039.0,2240090.5
2023-02-14,2531568.0,2156043.2
2023-02-15,2388360.2,2001950.4
2023-02-16,2247349.8,1911953.8
2023-02-17,2239336.2,1924520.8
2023-02-18,2326493.2,2023399.5
2023-02-19,2580252.2,2218817.8
2023-02-20,2923430.0,2474497.5
2023-02-21,3088770.2,2539673.8
2023-02-22,3135154.2,2524837.2
2023-02-23,3082555.5,2479502.8
2023-02-24,3196245.0,2572271.0
2023-02-25,3334527.8,2682398.8
2023-02-26,3650305.5,2952392.8
2023-02-27,3847086.5,3138641.8
2023-02-28,4148607.0,3438975.5
2023-03-01,3057218.2,2554980.5
2023-03-02,1981738.8,1726207.5
2023-03-03,1572890.8,1453845.5
2023-03-04,1379471.8,1309065.5
2023-03-05,1594144.5,1490617.5
2023-03-06,2056674.0,1790004.0
2023-03-07,2627323.8,2156029.2
2023-03-08,3145283.0,2475742.2
2023-03-09,3507545.2,2733236.2
2023-03-10,3637751.5,2845417.5
