rank,feature,mean_abs_shap,mean_shap
1,cogs_sd_trend_p365_gap549,0.0034962644604353984,-0.0034531873861578873
2,revenue_sd_trend_p365_gap549,0.0028976099401566233,-0.0028788830509452255
3,day,0.0027224633489669765,-0.0001548000853165066
4,cos_365_25,0.0017315515316399157,-0.0005647159804984378
5,cos_30_5,0.0015947667307162432,-0.000120426486585639
6,cos_7,0.001417172557190875,0.0002579107004876569
7,revenue_roll_std_365,0.0012611249652768562,0.001258186389214618
8,ops_wrong_size_return_share_91d_gap549,0.0011919693370527925,-0.0007053426102796434
9,prod_everyday_segment_revenue_share_91d_gap549,0.0010881398121652692,-0.0009495913045182968
10,sin_365_25,0.001072867149005701,-0.00029911150365729167
11,ops_return_order_rate_91d_gap549,0.001021528472792956,-0.0009113031052902425
12,exp_bounce_rate_paid_search,0.000978125303942012,-0.0009358333869021693
13,sin_30_5,0.000880645162692546,9.594913855121127e-05
14,cogs_decomp_random_m365_gap549,0.0008554715925792666,-0.0002925715160578525
15,cm_age_18_34_order_share_91d_gap549,0.0008026269827307229,-0.00027461982112552145
16,revenue_lag_28,0.0007928831812495635,-0.00031485735654818235
17,is_month_end,0.0007485147851116101,0.00018431171149746085
18,exp_bounce_rate_direct,0.0007349127068022782,0.0004897892893409372
19,mkt_web_bounce_rate_91d_gap549,0.0007310774689183757,-0.0005327327771961144
20,cm_female_order_share_91d_gap549,0.0007293457224523877,0.0005475069178104263
