rank,feature,mean_abs_shap,mean_shap
1,revenue_sd_trend_p365_gap549,0.0030117193884096807,-0.0030067063014324997
2,cogs_sd_trend_p365_gap549,0.0029779373817637534,-0.0029348109640442758
3,day,0.0026044151688071303,-0.00020442461567660812
4,cos_365_25,0.0016638384236035263,-0.0005197988448297039
5,cos_30_5,0.001425907693981005,-0.00011303429889662027
6,cos_7,0.0013824736869495111,0.00027337273764360074
7,prod_everyday_segment_revenue_share_91d_gap549,0.001277868031267341,-0.0012164213193022477
8,ops_wrong_size_return_share_91d_gap549,0.0011482170911907552,-0.0007356043965378303
9,sin_365_25,0.0011217568826909997,-0.0003000406404980169
10,revenue_roll_std_365,0.0011069972639611697,0.0011055311312287593
11,ops_return_order_rate_91d_gap549,0.0009774827976547836,-0.0008771649604371389
12,cm_age_18_34_order_share_91d_gap549,0.0008962940654989668,-0.00028026628744192225
13,cm_female_order_share_91d_gap549,0.0008906549964154736,0.000639420064769682
14,exp_bounce_rate_paid_search,0.0008438285634089022,-0.0008127646631333806
15,has_outdoor_promo,0.0008302126997012162,-0.00017009769018181938
16,cogs_decomp_random_m365_gap549,0.0007907673932251843,-0.0002807376942644562
17,sin_30_5,0.0007743500145919099,8.4560434632946e-05
18,revenue_lag_28,0.0007325638786353399,-0.00031789491656044943
19,exp_bounce_rate_direct,0.0007264397657131881,0.0004938558940892553
20,sin_7,0.0007235476202050775,-1.3429319128992846e-05
